name,inst_type,entity,permco,dt_start,dt_end
"Cal Rep Bancorp, Inc.",Bank Holding Company,1030910,9254,19870630,19931211
City Holding Company,Bank Holding Company,1076262,9280,19870630,20181231
Cu Bancorp,Bank Holding Company,1029585,9304,19870630,19970703
First Financial Service Corporation,Bank Holding Company,3150997,9341,20030108,20141231
"Lake Shore Bancorp, Inc.",Bank Holding Company,1206621,9345,19870731,19940709
First Bank Of Philadelphia,Commercial Bank,884312,9348,19870731,19991013
"Onbancorp, Inc.",Bank Holding Company,1427499,9381,19890918,19980401
Horizon Bancorp,Bank Holding Company,1209136,9389,19870831,20181231
"Bancorp New Jersey, Inc.",Bank Holding Company,1249141,9391,19880630,19950710
"Heritage Bancorp, Inc.",Bank Holding Company,1117811,9393,19870831,19980501
Premier Bankshares Corporation,Bank Holding Company,1140462,9423,19870831,19970527
Northeast Bancorp,Bank Holding Company,2324111,9438,19870831,20181231
"First California Financial Group, Inc.",Bank Holding Company,1031681,9446,19870831,20070312
Central Pacific Financial Corp.,Bank Holding Company,1022764,9449,19870831,20181231
Republic Bancorp Inc.,Bank Holding Company,1135600,9454,19870831,20061230
Harleysville Savings Financial Corporation,Bank Holding Company,2861492,9473,20000225,20121231
"Royal Bancshares Of Pennsylvania, Inc.",Bank Holding Company,2324429,9490,19950629,20171214
Sdnb Financial Corp.,Bank Holding Company,1030835,9512,19870930,20021230
"Laurel Capital Group, Inc.",Bank Holding Company,2265054,9524,19900101,20060828
Republic Bank,Commercial Bank,746465,9529,19870930,19980915
Central And Southern Holding Company,Bank Holding Company,1081800,9535,19870930,19970623
Svb Financial Group,Bank Holding Company,1031449,9588,19871030,20181231
Gbc Bancorp,Bank Holding Company,1029213,9615,19871130,20031021
Provident Bankshares Corporation,Bank Holding Company,1247633,9630,19871231,20090523
"Great Bay Bankshares, Inc.",Bank Holding Company,1247642,9640,19871231,19950329
Mayflower Co-Operative Bank,Commercial Bank,118174,9641,19871231,20070215
"Mayflower Bancorp, Inc",Bank Holding Company,3464797,9641,20070215,20131115
"Community Trust Bancorp, Inc.",Bank Holding Company,1070644,9645,19871231,20181231
Shoreline Financial Corporation,Bank Holding Company,1247606,9650,19880129,20010110
Indiana Community Bancorp,Bank Holding Company,3059504,9652,19900101,20120928
"Charter One Financial, Inc.",Bank Holding Company,1923946,9662,19880129,20040901
"Portsmouth Bank Shares, Inc.",Bank Holding Company,1248788,9682,19880229,19970829
Iowa National Bankshares Corp.,Bank Holding Company,1206377,9703,19880331,19970301
"Community Bancshares, Inc.",Bank Holding Company,1097203,9766,19880531,19950224
Bank Maryland Corp.,Bank Holding Company,1141290,9767,19880531,19950717
Rock Financial Corporation,Bank Holding Company,1131022,9770,19880531,19941201
"Community Banks, Inc.",Bank Holding Company,1117709,9772,19880531,20071117
"Bmr Financial Group, Inc.",Bank Holding Company,1140592,9782,19880531,19931215
Lafayette American Bank,Commercial Bank,63304,9796,19880531,19990320
Broad National Bancorporation,Bank Holding Company,1048456,9802,19880630,19990801
Surety Capital Corporation,Bank Holding Company,1839270,9816,19891230,20080418
"Fidelity Bancorp, Inc.",Bank Holding Company,2121552,9838,19900101,20120930
People'S Mutual Holdings,Bank Holding Company,1246702,9847,19880729,20070416
"People'S United Financial, Inc.",Bank Holding Company,3650152,9847,20070416,20181231
"Comsouth Bankshares, Inc.",Bank Holding Company,1248676,9855,19880729,19980901
Carolina Southern Bank,Commercial Bank,1400858,9877,19890626,20010217
Chemical Financial Corporation,Bank Holding Company,1201934,9882,19880831,20181231
W S B Holdings Inc,Thrift holding company,3833003,9884,20080103,20121231
"Home Port Bancorp, Inc.",Bank Holding Company,1249628,9916,19880831,20001229
West Coast Bancorp,Bank Holding Company,1031953,9957,19881031,20020205
Wainwright Bank & Trust Company,Commercial Bank,689302,9974,19881031,20110319
"Vsb Bancorp, Inc.",Bank Holding Company,1978076,9991,19900101,19940701
"Republic First Bancorp, Inc.",Bank Holding Company,1398807,9999,19881130,20181231
"Prime Bancorp, Inc.",Bank Holding Company,2502339,10013,19900101,19980801
"First Security Bank Of California, National Association",Commercial Bank,163969,10035,19881230,20001216
Hingham Institution For Savings,Commercial Bank,673909,10039,19881230,20181231
Doral Financial Corporation,Bank Holding Company,2184164,10053,19930825,20150227
Nmbt Corp.,Bank Holding Company,2581857,10071,19900101,20000329
James Madison Limited,Commercial Bank,1075162,10172,19861031,19910524
"First Western Bancorp, Inc.",Bank Holding Company,1071696,10173,19890531,20020430
Foothill Independent Bancorp,Bank Holding Company,1031430,10193,19890531,20060510
"California Bancshares, Inc.",Bank Holding Company,1027741,10195,19890531,19960607
Regent Bancshares Corp.,Bank Holding Company,1427583,10199,19890630,19980801
Sunrise Bancorp,Bank Holding Company,1030536,10200,19890531,19971102
Community Financial Corporation,Thrift holding company,3834738,10207,19960930,20120930
First Merchants Corporation,Bank Holding Company,1208559,10218,19890630,20181231
"Pinnacle Financial Services, Inc.",Bank Holding Company,1139073,10284,19890831,19980417
"First City Bancorp, Inc.",Bank Holding Company,1249637,10306,19890929,19960311
Cupertino National Bancorp,Bank Holding Company,1131590,10324,19891031,19961128
Landmark Bancorp,Bank Holding Company,1030901,10367,19860630,19960413
Capitol Bancorp Ltd.,Bank Holding Company,1247334,10388,19891130,20101231
"Banknorth Group, Inc.",Bank Holding Company,1427574,10396,19891229,20000510
"Suburban Bancshares, Inc.",Bank Holding Company,1134425,10404,19891229,20000307
"Bank Of Nashville, The",Commercial Bank,1407521,10414,19891229,19960430
"Community Financial Group, Inc.",Bank Holding Company,2398608,10414,19960501,20020731
"Great Southern Bancorp, Inc.",Bank Holding Company,2339133,10421,19891229,20181231
"Century South Banks, Inc.",Bank Holding Company,1083251,10423,19891229,20010608
"State Bancorp, Inc.",Bank Holding Company,1138861,10429,19891229,20110930
Ventura County National Bancorp,Bank Holding Company,1032053,10447,19900101,19970118
"Professional Bancorp, Inc.",Bank Holding Company,1030095,10451,19900101,20010116
"Pacific Bank, N.A.",Commercial Bank,518868,10458,19900101,20000301
American Bancorp Of Nevada,Bank Holding Company,1030200,10464,19900101,19970630
Civic Bancorp,Bank Holding Company,1032101,10468,19900101,20020301
Liberty National Bank,Commercial Bank,800965,10487,19900101,19970630
Peoples First Corporation,Bank Holding Company,1099056,10488,19900101,19980701
West Coast Bancorp,Bank Holding Company,1029893,10519,19900330,20130328
Bankers Corp.,Bank Holding Company,1481240,10524,19900316,19970829
"Pinnacle Banc Group, Inc.",Bank Holding Company,1204001,10529,19900101,19990903
Summit Financial Corporation,Bank Holding Company,1479180,10530,19900101,20050701
American Pacific Bank,Commercial Bank,92162,10537,19900101,20050423
"Savannah Bancorp, Inc., The",Bank Holding Company,1493560,10552,19900101,20120930
"Second Bancorp, Incorporated",Bank Holding Company,1141067,10624,19900101,20040701
Business Bancorp,Bank Holding Company,1029923,10636,19900613,19940930
Esb Financial Corporation,Thrift holding company,1924925,10637,19910503,20150210
State Financial Services Corporation,Bank Holding Company,1210413,10673,19900101,20051003
Park National Corporation,Bank Holding Company,1142336,10743,19900831,20181231
Bank Of San Pedro,Commercial Bank,813563,10784,19900101,19940716
Cathay General Bancorp,Bank Holding Company,1843080,10805,19901231,20181231
Regency Bancshares Inc.,Bank Holding Company,2009454,10816,19910102,19940131
"Charter Bancshares, Inc.",Bank Holding Company,1103449,10837,19900101,19960524
Intercontinental Bank,Commercial Bank,888534,10875,19900101,19951214
Anb Corporation,Bank Holding Company,1132702,10890,19900101,20000310
Hancock Holding Company,Bank Holding Company,1086533,10954,19910628,20181231
"Ff Bancorp, Inc.",Commercial Bank,2185282,11008,19910702,19950703
Northern States Financial Corporation,Bank Holding Company,1210589,11009,19910731,20120229
"Aspen Bancshares, Inc.",Bank Holding Company,1249114,11010,19900101,19970517
Sierrawest Bancorp,Bank Holding Company,1138740,11014,19900101,19990701
Pacific Northwest Bancorp,Bank Holding Company,2323057,11020,19900101,20090917
"Capital Bancorporation, Inc.",Bank Holding Company,1245312,11075,19900101,19951231
"Community First Bankshares, Inc.",Bank Holding Company,1246766,11087,19900101,20041204
"Cooperative Bankshares, Inc.",Bank Holding Company,2241937,11095,19900101,20090619
Bok Financial Corporation,Bank Holding Company,1883693,11106,19910930,20181231
"Sws Group, Inc.",Thrift holding company,3823031,11148,20000428,20141231
Integra Bank Corporation,Bank Holding Company,1132654,11264,19900101,20110729
"Mainsource Financial Group, Inc.",Bank Holding Company,1209109,11277,19920131,20180329
Commerce Bank,Commercial Bank,969723,11350,19900101,20070101
F&M Bancorp,Bank Holding Company,1076413,11369,19900101,20030813
First Financial Corporation,Bank Holding Company,1208595,11371,19920331,20181231
Far East National Bank,Commercial Bank,676160,11395,19900101,19950930
Nbt Bancorp Inc.,Bank Holding Company,1139279,11403,19920331,20181231
Albank Financial Corporation,Bank Holding Company,2138457,11448,19920401,19981130
Omega Financial Corporation,Bank Holding Company,1117259,11457,19900101,20080401
Hf Financial Corp.,Thrift holding company,2500700,11459,19920430,20160515
Renasant Corporation,Bank Holding Company,1098844,11479,19920430,20181231
"S & T Bancorp, Inc.",Bank Holding Company,1071397,11480,19920430,20181231
"Princeton National Bancorp, Inc.",Bank Holding Company,1207600,11508,19900101,20120629
Cbt Corporation,Bank Holding Company,1098965,11527,19900101,19980701
"Premier National Bancorp, Inc.",Bank Holding Company,1136429,11528,19900101,20010210
"Columbia Banking System, Inc.",Bank Holding Company,2078816,11576,19930816,20181231
"Covest Bancshares, Inc.",Bank Holding Company,2570187,11601,19900101,20031231
"Allied Bank Capital, Inc.",Bank Holding Company,1982288,11609,19920709,19960213
Anchor Bancorp Wisconsin Inc,Thrift holding company,2790967,11619,19920731,20160429
Michigan Financial Corporation,Bank Holding Company,1121779,11629,19900101,20041119
Sterling West Bancorp,Bank Holding Company,1030509,11630,19900101,19980702
"Cenit Bancorp, Inc.",Commercial Bank,2329992,11653,19920806,20010803
Argentbank,Commercial Bank,368634,11688,19900101,19980201
First United Corporation,Bank Holding Company,1132672,11691,19920930,20181231
"Msb Bancorp, Inc.",Commercial Bank,1994012,11692,19920903,19980529
1St United Bancorp,Bank Holding Company,1407035,11698,19900101,19971111
Cascade Financial Corporation,Bank Holding Company,2568362,11702,19900101,20110629
"Sterling Bancshares, Inc.",Bank Holding Company,1105425,11767,19900101,20110728
"Central Mortgage Bancshares, Inc.",Bank Holding Company,1050888,11771,19900101,19950502
Citizens National Corporation,Bank Holding Company,1958845,11784,19900101,19940405
Ambanc Corp.,Bank Holding Company,1097584,11827,19900101,19980831
"Chattahoochee Bancorp, Inc.",Bank Holding Company,1399046,11840,19900101,19940315
"Independence Bancorp, Inc.",Bank Holding Company,1048942,11853,19900101,19970121
Pvf Capital Corp.,Thrift holding company,3828652,11888,19941031,20131011
Centrue Financial Corporation,Bank Holding Company,2632898,11893,19900101,20061113
"Mnb Bancshares, Inc.",Bank Holding Company,2052692,11894,19930106,20011008
Edgemark Financial Corporation,Bank Holding Company,1204458,11939,19900101,19940503
Peoples Bancorp Inc.,Bank Holding Company,1070578,11950,19930226,20181231
"First Southern Bancorp, Inc.",Bank Holding Company,2031941,11974,19930224,19950602
"United Bancorp, Inc.",Bank Holding Company,1071502,11981,19930331,20181231
"Penn Central Bancorp, Inc.",Bank Holding Company,1118322,11986,19900101,19940128
Comstock Bancorp,Bank Holding Company,2536044,11987,19900101,19990601
"Madison Bancshares Group, Ltd.",Bank Holding Company,1416493,12018,19900101,20041001
"S. Y. Bancorp, Inc.",Bank Holding Company,1249730,12038,19930331,20181231
"Union Bankshares, Ltd.",Bank Holding Company,1131965,12043,19900101,20030116
Bancfirst Corporation,Bank Holding Company,1133286,12058,19930430,20181231
"Sun Bancorp, Inc.",Bank Holding Company,1117718,12062,19900101,20041001
"Mason-Dixon Bancshares, Inc.",Bank Holding Company,1951789,12065,19900101,19990714
"Central Virginia Bankshares, Inc.",Bank Holding Company,1140677,12079,19930430,20120531
Trico Bancshares,Bank Holding Company,1030170,12086,19930430,20181231
"West Coast Bancorp, Inc.",Bank Holding Company,1398713,12094,19900101,19970418
Southside Bancshares Corp.,Bank Holding Company,1098068,12100,19900101,20010928
Bancfirst Ohio Corp.,Bank Holding Company,1480980,12112,19900101,20020308
"Summit Bancshares, Inc.",Bank Holding Company,1104080,12116,19900101,20061209
"German American Bancorp, Inc.",Bank Holding Company,1098620,12139,19930528,20181231
"Ipswich Bancshares, Inc.",Bank Holding Company,2803063,12162,19930526,20020726
"Vista Bancorp, Inc.",Bank Holding Company,1250277,12163,19900101,20020821
"Sky Financial Group, Inc.",Bank Holding Company,1071203,12170,19900101,20070701
Metro Financial Corporation,Bank Holding Company,1493757,12172,19900101,19960201
Commercial Bank Of New York,Commercial Bank,1212631,12203,19900101,20011110
St. Francis Capital Corporation,Commercial Bank,2254496,12213,19930621,20031201
Wayne Savings Bancshares Inc New,Thrift holding company,3271203,12221,20030108,20171130
"Ksb Bancorp, Inc.",Bank Holding Company,2071321,12231,19930624,19991220
T R Financial Corp.,Bank Holding Company,2018344,12241,19930629,19990216
"George Mason Bankshares, Inc.",Bank Holding Company,1134685,12256,19900101,19971231
"Horizon Bancorp, Inc.",Bank Holding Company,1076244,12260,19900101,19981231
"Mississippi Valley Bancshares, Inc",Bank Holding Company,1100233,12262,19900101,20021001
"Cfb Bancorp, Inc.",Bank Holding Company,2262455,12284,19900101,19960824
First Defiance Financial Corporation,Thrift holding company,3316917,12289,19950929,20181231
Mountain Parks Financial Corporation,Bank Holding Company,1065332,12309,19900101,19961218
Cobancorp Inc.,Bank Holding Company,1071717,12322,19900101,19980523
"Nsd Bancorp, Inc.",Bank Holding Company,2123958,12334,19900101,20050219
"First Colonial Group, Inc.",Bank Holding Company,1117482,12388,19900101,20031031
Vist Financial Corp.,Bank Holding Company,1136139,12397,19900101,20120831
"Village Bancorp, Inc.",Bank Holding Company,1048782,12398,19900101,19990520
Moxham Bank Corporation,Bank Holding Company,1138638,12399,19900101,19960626
"Meta Financial Group, Inc",Commercial Bank,2390013,12412,19930930,20181231
Union First Market Bankshares Corporation,Bank Holding Company,1971693,12461,19931029,20181231
"Qcr Holdings, Inc.",Bank Holding Company,2125813,12462,19931029,20181231
"Commercial Bankshares, Inc.",Bank Holding Company,1250839,12464,19900101,20070602
"Merchants Bancorp, Inc.",Bank Holding Company,1206854,12469,19900101,20000211
First Patriot Bankshares Corporation,Bank Holding Company,1472181,12501,19900101,19970802
"Riverview Bancorp, Inc.",Thrift holding company,3180060,12503,19970930,20181231
"First Financial Bankshares, Inc.",Bank Holding Company,1102312,12525,19931130,20181231
First State Bancorporation,Bank Holding Company,1364071,12531,19900101,20110128
"Old Second Bancorp, Inc.",Bank Holding Company,1206911,12561,19931130,20181231
"State Bancshares, Inc.",Bank Holding Company,1116999,12562,19900101,19991201
Astoria Financial Corporation,Thrift holding company,2504128,12591,19931130,20170929
"New York Community Bancorp, Inc.",Bank Holding Company,2132932,12608,19931130,20181231
"Old York Road Bancorp, Inc.",Bank Holding Company,1870666,12609,19900101,19950701
Wvs Financial Corp.,Bank Holding Company,2140115,12618,19931130,20181231
Prestige Financial Corp.,Bank Holding Company,2022930,12621,19900101,19990116
First Banking Company Of Southeast Georgia,Bank Holding Company,1083130,12628,19900101,20000616
"Cardinal Bancshares, Inc.",Bank Holding Company,1357064,12642,19900101,20000101
"Lake Ariel Bancorp, Inc.",Bank Holding Company,1118210,12653,19900101,20000217
"Southern Financial Bancorp, Inc.",Bank Holding Company,2352990,12671,19900101,20040501
Fb&T Financial Corporation,Bank Holding Company,2235123,12683,19900101,19960330
"Southwest Bancorp, Inc.",Bank Holding Company,1062621,12704,19931231,20171019
First Bancshares Inc/Mo,Bank Holding Company,2484417,12721,19931231,20120629
"Pacific Crest Capital, Inc.",Bank Holding Company,2850656,12727,19900101,20040306
"First Charter Bank, National Association",Commercial Bank,606569,12732,19900101,20011008
"Affiliated Community Bancorp, Inc.",Bank Holding Company,2338501,12734,19951019,19980807
"Republic Bancshares, Inc.",Bank Holding Company,2387004,12736,19900101,20040415
"Quaker City Bancorp, Inc.",Commercial Bank,2538507,12741,19940201,20040831
Security Capital Corporation,Bank Holding Company,2164429,12749,19940103,19971001
Ledger Capital Corp,Bank Holding Company,2164447,12750,19940103,20011109
Letchworth Independent Bancshares Corporation,Bank Holding Company,1048531,12751,19900101,19991231
"Fflc Bancorp, Inc.",Commercial Bank,2496018,12752,19940104,20050518
"First Savings Bancorp, Inc.",Bank Holding Company,2353504,12758,19940106,20000914
Peoples Bank Corporation Of Indianapolis,Bank Holding Company,1140538,12776,19900101,19991120
Cascade Bancorp,Bank Holding Company,1848003,12784,19940131,20170530
"Harris Financial, Inc.",Bank Holding Company,2538682,12794,19970918,20001016
Greenpoint Financial Corp.,Bank Holding Company,2081124,12807,19940128,20040930
"Boston Private Financial Holdings, Inc.",Bank Holding Company,1248078,12848,19940228,20181231
"Triangle Bancorp, Inc.",Bank Holding Company,1993006,12883,19900101,20000219
"Citi-Bancshares, Inc.",Bank Holding Company,1084847,12892,19900101,19970301
"Texas Regional Bancshares, Inc.",Bank Holding Company,1109656,12923,19900101,20070601
"Garden State Bancshares, Inc.",Bank Holding Company,1130520,12936,19900101,19960119
Vectra Banking Corporation,Bank Holding Company,1427350,12945,19900101,19980107
"Landmark Bancorp, Inc.",Bank Holding Company,3030307,12951,20011009,20181231
First-Knox Banc Corp.,Bank Holding Company,1130007,12962,19900101,19970505
Metrobancorp,Bank Holding Company,1248649,12987,19900101,20030114
"Southern Missouri Bancorp, Inc.",Bank Holding Company,3266227,12994,20040628,20181231
Bank Of Suffolk,Commercial Bank,788924,13032,19940429,19950531
"James River Bankshares, Inc.",Bank Holding Company,2314233,13032,19950601,20010701
First State Corporation,Bank Holding Company,1081864,13039,19900101,19980401
Allegiance Banc Corporation,Bank Holding Company,1143445,13053,19900101,19961001
Pulaski Financial Corp,Thrift holding company,3832828,13061,19981202,20160429
Cnb Financial Corp.,Bank Holding Company,2194976,13081,19900101,20011109
Carrollton Bancorp,Bank Holding Company,1469800,13085,19940531,20180413
Ameris Bancorp,Bank Holding Company,1082067,13092,19940531,20181231
"Cole-Taylor Financial Group, Inc.",Bank Holding Company,1245219,13108,19900101,19970211
"Matewan Bancshares, Inc.",Bank Holding Company,1076570,13121,19900101,19990828
"Peoples Banctrust Company, Inc., The",Bank Holding Company,1132298,13137,19900101,20071016
Fnb United Corp.,Bank Holding Company,1133473,13139,19940630,20161025
First United Bancorporation,Bank Holding Company,1247446,13143,19900101,19980314
"Nss Bancorp, Inc.",Bank Holding Company,2589705,13146,19971001,19981120
Community Financial Holding Corporation,Bank Holding Company,1885718,13151,19940617,19980814
"Hmn Financial, Inc.",Thrift holding company,2500719,13187,19940630,20181231
Bcb Financial Services Corporation,Bank Holding Company,1247802,13191,19900101,19980501
Columbia Bancorp,Bank Holding Company,1249543,13199,19900101,20060201
Tf Financial Corporation,Thrift holding company,2499822,13204,19940729,20141024
Fvnb Corp.,Bank Holding Company,2697347,13249,19900101,20050502
Commerce Bank/Harrisburg National Association,Commercial Bank,775214,13291,19940825,19990630
"Metro Bancorp, Inc.",Bank Holding Company,2807614,13291,19990701,20160212
Fcnb Corp.,Bank Holding Company,1142028,13292,19900101,20010109
"Patriot National Bancorp, Inc.",Bank Holding Company,2840479,13294,19991201,20181231
Carnegie Bancorp,Bank Holding Company,2188416,13298,19940908,19980731
"Midwestone Financial Group, Inc",Bank Holding Company,1205053,13318,19900101,20080314
Benson Financial Corporation,Bank Holding Company,1140257,13334,19900101,19990831
"Flemington National Bank And Trust Company, The",Bank Holding Company,981604,13347,19900101,19960224
Westbank Corporation,Bank Holding Company,1115367,13360,19900101,20070102
Ibs Financial Corp.,Commercial Bank,2262745,13366,19941013,19980814
Belmont Bancorp.,Bank Holding Company,1071379,13376,19900101,20050601
"Carver Bancorp, Inc.",Thrift holding company,2531245,13396,19961017,20181231
Fidelity Southern Corporation,Bank Holding Company,1081118,13403,19941031,20181231
"New England Community Bancorp, Inc.",Bank Holding Company,1132869,13411,19900101,19991201
Northwest Bancshares Inc,Thrift holding company,4122722,13413,20091218,20181231
Alabama National Bancorporation,Bank Holding Company,1141786,13443,19900101,20080223
Skylands Financial Corporation,Bank Holding Company,2806411,13458,19900101,20000802
Northern Bank Of Commerce,Commercial Bank,2245056,13464,19900101,20000703
"Covenant Bancorp, Inc.",Bank Holding Company,2558064,13469,19900101,19980116
Camco Financial Corporation,Bank Holding Company,1251256,13496,19941230,20140228
"Premier Bancshares, Inc.",Bank Holding Company,1357091,13535,19900101,20000114
L S B Financial Corp,Thrift holding company,3848379,13544,19950228,20141031
"Sis Bancorp, Inc.",Bank Holding Company,2447270,13559,19950208,19981231
Alliance Mutual Holding Company,Commercial Bank,2298883,13597,19950303,20070130
Iberiabank Corporation,Bank Holding Company,2291914,13657,19950428,20181231
"Mb Financial, Inc.",Bank Holding Company,2754156,13660,19950407,20011106
"Mb Financial, Inc",Bank Holding Company,1090987,13660,20011107,20181231
"Guaranty Federal Bancshares, Inc.",Bank Holding Company,2618940,13662,20000212,20181231
"Community Bank Shares Of Indiana, Inc.",Bank Holding Company,2356073,13663,19950428,20160909
Perpetual State Bank,Commercial Bank,683270,13664,19900101,19960901
"Fp Bancorp, Inc.",Bank Holding Company,1031793,13670,19900101,19980523
"First Southern Bancshares, Inc.",Bank Holding Company,2313704,13674,19900101,20020331
Jacksonville Bancorp Inc Md,Thrift holding company,2300982,13685,19950428,20180604
Fnb Financial Services Corporation,Bank Holding Company,1130696,13708,19900101,20070801
Americanwest Bancorporation,Bank Holding Company,1031627,13712,19900101,20101219
Yardville National Bancorp,Bank Holding Company,1138517,13766,19900101,20071026
Merit Holding Corporation,Bank Holding Company,1864218,13804,19900101,19990930
Guaranty Financial Corporation,Bank Holding Company,2521406,13811,19900101,20040501
Community Financial Corp.,Bank Holding Company,2318446,13822,19900101,20050909
Ccf Holding Company,Bank Holding Company,2708159,13840,19900101,20080930
"Bnccorp, Inc.",Bank Holding Company,1248162,13845,19900101,20071231
Habersham Bancorp,Bank Holding Company,1086766,13849,19900101,20110218
Capital Bancorp,Bank Holding Company,1082115,13878,19900101,19980101
U.S. Trust Corporation,Bank Holding Company,2309912,13949,19900101,20070702
Bank Of Commerce,Commercial Bank,36063,13953,19900101,19990716
"Auburn National Bancorporation, Inc.",Bank Holding Company,1129533,13966,19950929,20181231
Atlantic Financial Corp.,Bank Holding Company,2463131,13980,19900101,20010227
Damen Financial Corporation,Bank Holding Company,2507697,14012,19900101,19990701
"Allegiant Bancorp, Incorporated",Bank Holding Company,1426812,14016,19900101,20040409
"1St Independence Financial Group, Inc.",Bank Holding Company,2484202,14019,19900101,20080830
Desert Community Bank,Commercial Bank,155263,14022,19900101,20070818
"Oak Hill Financial, Inc.",Bank Holding Company,1070747,14042,19900101,20071201
County Bank Of Chesterfield,Commercial Bank,629223,14056,19900101,20001209
"Imperial Capital Bancorp, Inc",Bank Holding Company,3114654,14074,19900101,20080930
Banner Corporation,Bank Holding Company,2126977,14091,19951130,20181231
Investors Financial Services Corp.,Bank Holding Company,2337045,14112,19900101,20070702
Flushing Financial Corp,Thrift holding company,2393274,14157,19951130,20181231
Patriot Bank Corp.,Bank Holding Company,2410283,14184,19900101,20040610
"Classic Bancshares, Inc.",Bank Holding Company,2469245,14273,19900101,20050521
Area Bancshares Corporation,Bank Holding Company,1095571,14277,19900101,20020321
Broadway Financial Corp Del,Thrift holding company,3260841,14283,19960131,20181231
Capital Corp Of The West,Bank Holding Company,2332750,14291,19900101,20090206
"Usabancshares.Com, Inc",Bank Holding Company,2351818,14295,19960119,20020201
"American Bancshares, Inc.",Bank Holding Company,2370770,14342,19900101,20000321
Ohio Valley Banc Corp.,Bank Holding Company,2012436,14355,19960229,20181231
Orange National Bancorp,Bank Holding Company,1141777,14361,19960213,19991001
California Community Bancshares Corporation,Bank Holding Company,2378422,14434,19900101,19980416
Ffd Financial Corp,Bank Holding Company,2506805,14499,19960430,20120629
Resource Bankshares Corporation,Bank Holding Company,2693358,14524,19900101,20040401
Capital Crossing Bank,Commercial Bank,1167889,14526,19900101,20070215
"Sandy Spring Bancorp, Inc.",Bank Holding Company,1248304,14531,19960430,20181231
"Southwest Banks, Inc.",Bank Holding Company,1406944,14554,19900101,19981230
First Federal Bancshares Ark Inc,Thrift holding company,3832015,14587,19960531,20180420
Bank Corporation Of Georgia,Bank Holding Company,1081181,14597,19900101,19971217
Pacific Capital Bancorp,Bank Holding Company,1029884,14615,19900101,20120930
First Financial Corp.,Bank Holding Company,1114799,14616,19900101,20020417
"Premier Financial Bancorp, Inc.",Bank Holding Company,2007647,14633,19960531,20181231
Tysons National Bank,Bank Holding Company,1867602,14660,19900101,19990717
"Commercesouth, Inc.",Bank Holding Company,1398834,14672,19900101,20031231
Century Financial Corporation,Bank Holding Company,1249262,14686,19900101,19980513
Commercial National Financial Corporation,Bank Holding Company,1823738,14687,19900101,20120331
Byl Bancorp,Bank Holding Company,2611101,14709,19900101,20011101
"Comm Bancorp, Incorporated",Bank Holding Company,1118229,14729,19900101,20110101
"Center Bancorp, Inc.",Bank Holding Company,1048764,14751,19960628,20181231
Security Bank Corporation,Commercial Bank,855929,14759,19900101,19990323
Dime Community Bancshares,Thrift holding company,2487650,14762,19960628,20181231
"Provident Financial Holdings, Inc.",Thrift holding company,3632493,14778,19960628,20181231
"Cass Information Systems, Inc.",Bank Holding Company,1098648,14781,19960731,20181231
Oceanfirst Financial Corp.,Thrift holding company,2609975,14795,19960731,20181231
"Abigail Adams National Bancorp, Inc.",Bank Holding Company,1075500,14811,19900101,20110517
"Glastonbury Bank And Trust Company, The",Commercial Bank,1013708,14820,19900101,20000513
Bank Of Los Angeles,Commercial Bank,662864,14853,19900101,19981024
California Independent Bancorp,Bank Holding Company,2299125,14855,19900101,20040107
North Country Bancorp,Bank Holding Company,1029932,14903,19900101,20011001
E*Trade Financial Corporation,Thrift holding company,3412583,14915,20000110,20181231
"Beverly Bancorporation, Inc.",Bank Holding Company,1200982,14924,19900101,19980702
R&G Financial Corporation,Bank Holding Company,2452180,14925,19900101,20041231
"Grand Premier Financial, Inc.",Bank Holding Company,2441559,14928,19900101,20000402
"Sun Bancorp, Inc",Bank Holding Company,1139242,14938,19960830,20180131
First M & F Corporation,Bank Holding Company,1095982,14940,19960930,20130830
Greater Bay Bancorp,Bank Holding Company,1136531,14946,19900101,20110801
Independent Financial Network,Bank Holding Company,1031168,14954,19900101,20011230
Centrue Financial Corporation,Bank Holding Company,1206591,14996,19900101,20110331
"Premier Community Bankshares, Inc.",Bank Holding Company,1826047,15009,19900101,20070714
South Street Financial Corp.,Bank Holding Company,2465313,15016,19961003,20070404
Britton & Koontz Capital Corporation,Bank Holding Company,1084212,15045,19961031,20120731
Summit Bank Corporation,Bank Holding Company,1247660,15055,19900101,20061230
"Gold Banc Corporation, Inc.",Bank Holding Company,1050600,15150,19900101,20060401
Goleta National Bank,Commercial Bank,1412712,15152,19961119,19971230
Community West Bancshares,Bank Holding Company,2626299,15152,19971231,20181231
Pacific Capital Bancorp,Bank Holding Company,1031766,15169,19900101,19981231
Beverly Hills Bancorp Inc.,Commercial Bank,3312227,15247,20040818,20090130
First Mariner Bancorp,Bank Holding Company,2322304,15250,19900101,20110630
River Valley Bancorp,Bank holding company,2466981,15251,19961231,20160229
Advance Financial Bancorp,Commercial Bank,2806176,15263,19970102,20041230
"Wayne Bancorp, Inc.",Bank Holding Company,1137592,15265,19900101,20041005
Bank Of Santa Clara,Commercial Bank,231961,15274,19900101,20040202
"Amegy Bancorporation, Inc.",Bank Holding Company,2384021,15289,19900101,20051203
"Capital City Bank Group, Inc.",Bank Holding Company,1085509,15307,19970228,20181231
High Point Financial Corp.,Bank Holding Company,1048746,15308,19900101,19990715
